Produto;Descricao;Unidade;Lote;Localizacao;Fisico;Sistema;Diferenca;Custo STD;Valor Total
ZR00086172;BOTA S/ BIQ  PU N 39 CA 26446;pcs;;Z-C4C1;               0,000;               1,000;         1,0000;         2,3000;         2,3000
ZR00086172;BOTA S/ BIQ  PU N 39 CA 26446;pcs;;Z-C5F1;               0,000;              19,000;        19,0000;         2,3000;        43,7000
ZR00086173;BOTA  C/ BIQ  PU N 43 CA 26450;pcs;;Z-C5E1;               0,000;               6,000;         6,0000;         2,3000;        13,8000
ZR00086173;BOTA  C/ BIQ  PU N 43 CA 26450;pcs;;Z-C6H1;               0,000;              17,000;        17,0000;         2,3000;        39,1000
ZR00086174;BOTA S/ BIQ  PU N 43 CA 26446;pcs;;Z-C5B1;               0,000;               4,000;         4,0000;         2,3000;         9,2000
ZR00086175;BOTA C/ BIQ NITRI N43 CA 32621;pcs;;Z-C6B1;               0,000;               7,000;         7,0000;         2,3000;        16,1000
ZR00086176;BOTA C BIQ NITRI N 42 CA 26531;pcs;;Z-C6D1;               0,000;               4,000;         4,0000;         2,3000;         9,2000
ZR00086179;BOTA C/ BIQ NITRI N 39 CA26531;pcs;;Z-C5F1;               0,000;              11,000;        11,0000;         2,3000;        25,3000
ZR00086180;BOTA C/ BIQ  NITRIN 38 CA26531;pcs;;Z-C4H1;               0,000;               3,000;         3,0000;         2,3000;         6,9000
ZR00086180;BOTA C/ BIQ  NITRIN 38 CA26531;pcs;;Z-C6D1;               0,000;              13,000;        13,0000;         2,3000;        29,9000
ZR00086180;BOTA C/ BIQ  NITRIN 38 CA26531;pcs;;Z-C6I1;               0,000;               5,000;         5,0000;         2,3000;        11,5000
ZR00086181;LUVA RASPA REVERSIVEL CA 10383;pcs;;Z-C1H1;               0,000;              44,000;        44,0000;         2,3000;       101,2000
ZR00086184;KIT DE ALMOFADA E ESPUMA P/ PR;pcs;;Z-C1B1;               0,000;              13,000;        13,0000;         2,3000;        29,9000
ZR00086196;CAMISETA POLO TAM GG;pcs;;Z-C3C1;               0,000;              18,000;        18,0000;         2,3000;        41,4000
