121;NQ001423AAF60;TUBO RETO REF.PECA 462506S310;462506S310;0,319;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;319
121;NQ001424AAF60;TUBO RETO REF. PECA 7700438161;7700438161;3,428;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;3428
121;NQ001425AAF60;TUBO RETO REF. PECA 462816S370;462816S370;2,502;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;2502
121;NQ001426AAF60;TUBO RETO REF.PECA 7700438150;7700438150;0,3885;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;388,5
121;NQ001428AAF60;TUBO RETO REF. PECA 462826S310;462826S310;2,497;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;2497
121;NQ001429AAF60;TUBO RETO REF.PECA 7700438151;7700438151;1,436;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;1436
121;NQ001430AAF60;TUBO RETO REF. PECA 462402BA00;462402BA00;2,341;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;2341
121;NQ001431AAF60;TUBO RETO REF.PECA 1J1611724.B;1J1611724B;1,625;TUBO ZNPA 4,76 X 0,71 MM FABRICACAO NACIONAL;TUBO ZNPA 4,76 X 0,71 MM FAB;1625
121;NQ001432AAF60;TUBO RETO REF. PECA 7700438162;7700438162;0,679;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;679
121;NQ001433AAF60;TUBO RETO REF. PECA 7700438157;7700438157;1,127;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;1127
121;NQ001434AAF60;TUBO RETO REF.PECA 8200138907;8200138907;2,019;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;2019
121;NQ001435AAF60;TUBO RETO REF.PECA 462526S300;462526S300;0,41;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;410
121;NQ001436AAF60;TUBO RETO REF. PECA 1J0614741AC;1J0614741AC;2,642;TUBO ZNPA 4,76 X 0,71 MM FABRICACAO NACIONAL;TUBO ZNPA 4,76 X 0,71 MM FAB;2642
121;NQ001437AAF60;TUBO RETO RE.PECA 462906S300;462906S300;0,429;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;429
121;NQ001438AAF60;TUBO RETO REF.PECA 8200138908;8200138908;2,283;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;2283
121;NQ001439AAF60;TUBO RETO REF. PECA 462402BB00;462402BB00;2,331;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;2331
121;NQ001440AAF60;TUBO RETO REF.PECA 7700438152;7700438152;0,882;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;882
121;NQ001441AAF60;TUBO RETO REF. PECA 7700417521;7700417521;0,46;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;460
121;NQ001442AAF60;TUBO RETO REF.PECA 8200138910;8200138910;0,859;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;859
121;NQ001443AAF60;TUBO RETO REF.PECA 1J1611739.A;1J1611739A;0,3405;TUBO ZNPA 4,76 X 0,71 MM FABRICACAO NACIONAL;TUBO ZNPA 4,76 X 0,71 MM FAB;340,5
121;NQ001444AAF60;TUBO RETO REF. PECA 7700438163;7700438163;0,607;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;607
121;NQ001445AAF60;TUBO RETO REF.PECA 8200138912;8200138912;0,88;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;880
121;NQ001446AAF60;TUBO RETO REF.PECA 462526S310;462526S310;0,353;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;353
121;NQ001447AAF60;TUBO RETO REF. PECA 1J0614684AD (1J0614742AA);1J0614742AA;3,675;TUBO ZNPA 4,76 X 0,71 MM FABRICACAO NACIONAL;TUBO ZNPA 4,76 X 0,71 MM FAB;3675
